名称,分类,图片URL
45发K437扩容弹匣,弹夹,https://hpromax.top/static/assets/ui-cutouts/%E9%85%8D%E4%BB%B6%E5%9B%BE%E7%89%87/%E5%BC%B9%E5%A4%B9/45%E5%8F%91K437%E6%89%A9%E5%AE%B9%E5%BC%B9%E5%8C%A3-removebg-preview.png
5.56_4530发聚合物弹匣,弹夹,https://hpromax.top/static/assets/ui-cutouts/%E9%85%8D%E4%BB%B6%E5%9B%BE%E7%89%87/%E5%BC%B9%E5%A4%B9/5.56_4530%E5%8F%91%E8%81%9A%E5%90%88%E7%89%A9%E5%BC%B9%E5%8C%A3-removebg-preview.png
5.56_4530发铝匣,弹夹,https://hpromax.top/static/assets/ui-cutouts/%E9%85%8D%E4%BB%B6%E5%9B%BE%E7%89%87/%E5%BC%B9%E5%A4%B9/5.56_4530%E5%8F%91%E9%93%9D%E5%8C%A3-removebg-preview.png
5.8新式30发弹匣,弹夹,https://hpromax.top/static/assets/ui-cutouts/%E9%85%8D%E4%BB%B6%E5%9B%BE%E7%89%87/%E5%BC%B9%E5%A4%B9/5.8%E6%96%B0%E5%BC%8F30%E5%8F%91%E5%BC%B9%E5%8C%A3-removebg-preview.png
5.8新式45发扩容弹匣,弹夹,https://hpromax.top/static/assets/ui-cutouts/%E9%85%8D%E4%BB%B6%E5%9B%BE%E7%89%87/%E5%BC%B9%E5%A4%B9/5.8%E6%96%B0%E5%BC%8F45%E5%8F%91%E6%89%A9%E5%AE%B9%E5%BC%B9%E5%8C%A3-removebg-preview.png
5.8新式60发弹鼓,弹夹,https://hpromax.top/static/assets/ui-cutouts/%E9%85%8D%E4%BB%B6%E5%9B%BE%E7%89%87/%E5%BC%B9%E5%A4%B9/5.8%E6%96%B0%E5%BC%8F60%E5%8F%91%E5%BC%B9%E9%BC%93-removebg-preview.png
93R18发弹匣,弹夹,https://hpromax.top/static/assets/ui-cutouts/%E9%85%8D%E4%BB%B6%E5%9B%BE%E7%89%87/%E5%BC%B9%E5%A4%B9/93R18%E5%8F%91%E5%BC%B9%E5%8C%A3-removebg-preview.png
93R24发弹匣,弹夹,https://hpromax.top/static/assets/ui-cutouts/%E9%85%8D%E4%BB%B6%E5%9B%BE%E7%89%87/%E5%BC%B9%E5%A4%B9/93R24%E5%8F%91%E5%BC%B9%E5%8C%A3-removebg-preview.png
沙鹰13发弹匣,弹夹,https://hpromax.top/static/assets/ui-cutouts/%E9%85%8D%E4%BB%B6%E5%9B%BE%E7%89%87/%E5%BC%B9%E5%A4%B9/%E6%B2%99%E9%B9%B013%E5%8F%91%E5%BC%B9%E5%8C%A3-removebg-preview.png
霰弹枪快速装填器,弹夹,https://hpromax.top/static/assets/ui-cutouts/%E9%85%8D%E4%BB%B6%E5%9B%BE%E7%89%87/%E5%BC%B9%E5%A4%B9/%E9%9C%B0%E5%BC%B9%E6%9E%AA%E5%BF%AB%E9%80%9F%E8%A3%85%E5%A1%AB%E5%99%A8-removebg-preview.png
