武器ID,武器名称,冲突对数量,未匹配冲突
357,.357左轮,13,0
725,725双管霰弹枪,49,0
杠杆式步枪,杠杆式步枪,31,0
沙漠之鹰,沙漠之鹰,11,0
腾龙突击步枪,腾龙突击步枪,26,0
野牛冲锋枪,野牛冲锋枪,65,0
勇士冲锋枪,勇士冲锋枪,66,0
ak-12,AK-12突击步枪,90,0
akm,AKM突击步枪,77,0
aks-74u,AKS-74U突击步枪,55,0
ar57,AR57突击步枪,24,0
ash-12,ASh-12战斗步枪,55,0
asval,ASVal突击步枪,31,0
aug,AUG突击步枪,88,0
awm,AWM狙击步枪,30,0
car-15,CAR-15突击步枪,42,0
fs-12,FS-12霰弹枪,50,0
g3,G3战斗步枪,27,0
k416,K416突击步枪,34,0
k437,K437突击步枪,27,0
kc17,KC17突击步枪,33,0
m1014,M1014霰弹枪,49,0
m14,M14射手步枪,34,0
m16a4,M16A4突击步枪,61,0
m249,M249轻机枪,59,0
m250,M250通用机枪,49,0
m4a1,M4A1突击步枪,59,0
m700,M700狙击步枪,31,0
m7,M７战斗步枪,50,0
m82,M82狙击步枪,27,0
m870,M870霰弹枪,49,0
mcxlt,MCXLT突击步枪,28,0
mini-14,Mini-14射手步枪,30,0
mk47,MK47突击步枪,26,0
mk4,MK4冲锋枪,60,0
mp5,MP5冲锋枪,64,0
mp7,MP7冲锋枪,35,0
p90,P90冲锋枪,62,0
pkm,PKM通用机枪,31,0
psg-1,PSG-1射手步枪,34,0
ptr-32,PTR-32突击步枪,25,0
qbz95-1,QBZ95-1突击步枪,31,0
qcq171,QCQ171冲锋枪,34,0
qjb201,QJB201轻机枪,21,0
r93,R93狙击步枪,30,0
rm277,RM277突击步枪,27,0
s12k,S12K霰弹枪,77,0
scar-h,SCAR-H战斗步枪,29,0
sg552,SG552突击步枪,30,0
sks,SKS射手步枪,25,0
smg-45,SMG-45冲锋枪,60,0
sr-25,SR-25射手步枪,40,0
sr-3m,SR-3M紧凑突击步枪,57,0
sr9,SR9射手步枪,33,0
sv-98,SV-98狙击步枪,30,0
svch,SVCH精确射手步枪,3,0
svd,SVD狙击步枪,33,0
uzi,UZI冲锋枪,45,0
vector,Vector冲锋枪,32,0
vss,VSS射手步枪,33,0
