武器ID,武器名称,开火模式
357,.357左轮,单发
725,725双管霰弹枪,单发
93r,93R,连发
复合弓,复合弓,单发
杠杆式步枪,杠杆式步枪,单发
沙漠之鹰,沙漠之鹰,单发
腾龙突击步枪,腾龙突击步枪,全自动
腾龙突击步枪,腾龙突击步枪,单发
野牛冲锋枪,野牛冲锋枪,全自动
野牛冲锋枪,野牛冲锋枪,单发
勇士冲锋枪,勇士冲锋枪,单发
勇士冲锋枪,勇士冲锋枪,全自动
ak-12,AK-12突击步枪,单发
ak-12,AK-12突击步枪,连发
ak-12,AK-12突击步枪,全自动
akm,AKM突击步枪,单发
akm,AKM突击步枪,全自动
aks-74u,AKS-74U突击步枪,单发
aks-74u,AKS-74U突击步枪,全自动
ar57,AR57突击步枪,全自动
ar57,AR57突击步枪,单发
ash-12,ASh-12战斗步枪,全自动
ash-12,ASh-12战斗步枪,单发
asval,ASVal突击步枪,全自动
asval,ASVal突击步枪,单发
asval,ASVal突击步枪,爆发
aug,AUG突击步枪,全自动
aug,AUG突击步枪,单发
awm,AWM狙击步枪,单发
car-15,CAR-15突击步枪,全自动
car-15,CAR-15突击步枪,单发
fs-12,FS-12霰弹枪,单发
fs-12,FS-12霰弹枪,泵动
g17,G17,单发
g18,G18,全自动
g3,G3战斗步枪,单发
g3,G3战斗步枪,全自动
k416,K416突击步枪,全自动
k416,K416突击步枪,单发
k437,K437突击步枪,全自动
k437,K437突击步枪,单发
kc17,KC17突击步枪,全自动
kc17,KC17突击步枪,单发
m1014,M1014霰弹枪,单发
m14,M14射手步枪,全自动
m14,M14射手步枪,单发
m16a4,M16A4突击步枪,连发
m16a4,M16A4突击步枪,单发
m1911,M1911,单发
m249,M249轻机枪,全自动
m250,M250通用机枪,全自动
m250,M250通用机枪,单发
m4a1,M4A1突击步枪,全自动
m4a1,M4A1突击步枪,单发
m700,M700狙击步枪,单发
m7,M７战斗步枪,全自动
m7,M７战斗步枪,单发
m82,M82狙击步枪,单发
m870,M870霰弹枪,单发
mcxlt,MCXLT突击步枪,全自动
mcxlt,MCXLT突击步枪,单发
mini-14,Mini-14射手步枪,单发
mk47,MK47突击步枪,单发
mk47,MK47突击步枪,全自动
mk4,MK4冲锋枪,单发
mk4,MK4冲锋枪,连发
mk4,MK4冲锋枪,全自动
mp5,MP5冲锋枪,全自动
mp5,MP5冲锋枪,单发
mp5,MP5冲锋枪,连发
mp7,MP7冲锋枪,全自动
mp7,MP7冲锋枪,单发
p90,P90冲锋枪,单发
p90,P90冲锋枪,全自动
pkm,PKM通用机枪,全自动
psg-1,PSG-1射手步枪,单发
ptr-32,PTR-32突击步枪,单发
ptr-32,PTR-32突击步枪,全自动
qbz95-1,QBZ95-1突击步枪,单发
qbz95-1,QBZ95-1突击步枪,全自动
qcq171,QCQ171冲锋枪,全自动
qcq171,QCQ171冲锋枪,单发
qjb201,QJB201轻机枪,全自动
qsz92g,QSZ92G,单发
r93,R93狙击步枪,单发
rm277,RM277突击步枪,全自动
rm277,RM277突击步枪,单发
s12k,S12K霰弹枪,单发
s12k,S12K霰弹枪,全自动
scar-h,SCAR-H战斗步枪,单发
scar-h,SCAR-H战斗步枪,全自动
sg552,SG552突击步枪,单发
sg552,SG552突击步枪,全自动
sg552,SG552突击步枪,连发
sks,SKS射手步枪,单发
smg-45,SMG-45冲锋枪,全自动
smg-45,SMG-45冲锋枪,单发
sr-25,SR-25射手步枪,单发
sr-3m,SR-3M紧凑突击步枪,全自动
sr-3m,SR-3M紧凑突击步枪,单发
sr9,SR9射手步枪,单发
sv-98,SV-98狙击步枪,单发
svch,SVCH精确射手步枪,单发
svch,SVCH精确射手步枪,全自动
svd,SVD狙击步枪,单发
uzi,UZI冲锋枪,全自动
uzi,UZI冲锋枪,单发
vector,Vector冲锋枪,全自动
vector,Vector冲锋枪,单发
vector,Vector冲锋枪,连发
vss,VSS射手步枪,单发
vss,VSS射手步枪,全自动
