武器ID,武器名称,触发配件,动作,目标槽位
357,.357左轮,灵眼3/7弹道计算狙击镜,add,遮光罩
357,.357左轮,M157火控光学系统,add,遮光罩
357,.357左轮,LPVO多倍率战斗瞄具,add,遮光罩
357,.357左轮,3/7可调倍率狙击镜,add,遮光罩
357,.357左轮,3/7可调倍率狙击镜,add,上副瞄具
357,.357左轮,侦察1.5/5可调瞄准镜,add,遮光罩
357,.357左轮,MEO微型瞄具增高架,add,瞄准镜
357,.357左轮,.357左轮逐风者长枪管,add,前握把
357,.357左轮,.357左轮逐风者长枪管,add,导轨脚架
357,.357左轮,.357左轮逐风者长枪管,add,上导轨
357,.357左轮,.357左轮逐风者长枪管,add,右导轨
357,.357左轮,.357左轮逐风者长枪管,add,上贴片
357,.357左轮,.357左轮逐风者长枪管,add,左导轨
357,.357左轮,.357左轮逐风者长枪管,add,右贴片
357,.357左轮,.357左轮逐风者长枪管,add,左贴片
357,.357左轮,.357左轮逐风者枪管,add,前握把
357,.357左轮,.357左轮逐风者枪管,add,上导轨
357,.357左轮,.357左轮逐风者枪管,add,导轨脚架
357,.357左轮,.357左轮逐风者枪管,add,左导轨
357,.357左轮,.357左轮逐风者枪管,add,上贴片
357,.357左轮,.357左轮逐风者枪管,add,右导轨
357,.357左轮,.357左轮逐风者枪管,add,左贴片
357,.357左轮,.357左轮逐风者枪管,add,右贴片
357,.357左轮,.357左轮逐风者后握把,add,枪托
725,725双管霰弹枪,灵眼3/7弹道计算狙击镜,add,遮光罩
725,725双管霰弹枪,M157火控光学系统,add,遮光罩
725,725双管霰弹枪,LPVO多倍率战斗瞄具,add,遮光罩
725,725双管霰弹枪,3/7可调倍率狙击镜,add,遮光罩
725,725双管霰弹枪,3/7可调倍率狙击镜,add,上副瞄具
725,725双管霰弹枪,侦察1.5/5可调瞄准镜,add,遮光罩
725,725双管霰弹枪,MEO微型瞄具增高架,add,瞄准镜
725,725双管霰弹枪,多用途战术增高架,add,战术设备
725,725双管霰弹枪,多用途战术增高架,add,增高座瞄具
725,725双管霰弹枪,微型瞄具增高架,add,增高座瞄具
725,725双管霰弹枪,725双管霰弹枪鹰隼长枪管,add,前握把
725,725双管霰弹枪,725双管霰弹枪鹰隼长枪管,add,左导轨
725,725双管霰弹枪,725双管霰弹枪鹰隼长枪管,add,右导轨
725,725双管霰弹枪,725双管霰弹枪鹰隼长枪管,add,上贴片
725,725双管霰弹枪,725双管霰弹枪鹰隼长枪管,add,左贴片
725,725双管霰弹枪,725双管霰弹枪鹰隼长枪管,add,右贴片
杠杆式步枪,杠杆式步枪,灵眼6/12弹道计算狙击镜,add,遮光罩
杠杆式步枪,杠杆式步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
杠杆式步枪,杠杆式步枪,M157火控光学系统,add,遮光罩
杠杆式步枪,杠杆式步枪,6/12神射手变倍狙击镜,add,遮光罩
杠杆式步枪,杠杆式步枪,6/12神射手变倍狙击镜,add,上副瞄具
杠杆式步枪,杠杆式步枪,LPVO多倍率战斗瞄具,add,遮光罩
杠杆式步枪,杠杆式步枪,3/7可调倍率狙击镜,add,遮光罩
杠杆式步枪,杠杆式步枪,3/7可调倍率狙击镜,add,上副瞄具
杠杆式步枪,杠杆式步枪,光学狙击8倍瞄准镜,add,遮光罩
杠杆式步枪,杠杆式步枪,侦察1.5/5可调瞄准镜,add,遮光罩
杠杆式步枪,杠杆式步枪,MEO微型瞄具增高架,add,瞄准镜
杠杆式步枪,杠杆式步枪,多用途战术增高架,add,战术设备
杠杆式步枪,杠杆式步枪,多用途战术增高架,add,增高座瞄具
杠杆式步枪,杠杆式步枪,微型瞄具增高架,add,增高座瞄具
杠杆式步枪,杠杆式步枪,M3狙击镜,add,遮光罩
杠杆式步枪,杠杆式步枪,杠杆式步枪拓荒者枪管,add,前握把
杠杆式步枪,杠杆式步枪,杠杆式步枪拓荒者枪管,add,左导轨
杠杆式步枪,杠杆式步枪,杠杆式步枪拓荒者枪管,add,右导轨
杠杆式步枪,杠杆式步枪,杠杆式步枪猎鹿人枪管,add,前握把
杠杆式步枪,杠杆式步枪,杠杆式步枪猎鹿人枪管,add,上导轨
杠杆式步枪,杠杆式步枪,杠杆式步枪猎鹿人枪管,add,左导轨
杠杆式步枪,杠杆式步枪,杠杆式步枪猎鹿人枪管,add,右贴片
杠杆式步枪,杠杆式步枪,杠杆式步枪猎鹿人枪管,add,右导轨
杠杆式步枪,杠杆式步枪,杠杆式步枪猎鹿人枪管,add,左贴片
杠杆式步枪,杠杆式步枪,杠杆式步枪骨架枪托,add,托腮板
沙漠之鹰,沙漠之鹰,MEO微型瞄具增高架,add,瞄准镜
腾龙突击步枪,腾龙突击步枪,灵眼3/7弹道计算狙击镜,add,遮光罩
腾龙突击步枪,腾龙突击步枪,M157火控光学系统,add,遮光罩
腾龙突击步枪,腾龙突击步枪,LPVO多倍率战斗瞄具,add,遮光罩
腾龙突击步枪,腾龙突击步枪,3/7可调倍率狙击镜,add,遮光罩
腾龙突击步枪,腾龙突击步枪,3/7可调倍率狙击镜,add,上副瞄具
腾龙突击步枪,腾龙突击步枪,侦察1.5/5可调瞄准镜,add,遮光罩
腾龙突击步枪,腾龙突击步枪,MEO微型瞄具增高架,add,瞄准镜
腾龙突击步枪,腾龙突击步枪,多用途战术增高架,add,战术设备
腾龙突击步枪,腾龙突击步枪,多用途战术增高架,add,增高座瞄具
腾龙突击步枪,腾龙突击步枪,微型瞄具增高架,add,增高座瞄具
腾龙突击步枪,腾龙突击步枪,新式蛟龙战术长枪管,add,上贴片
腾龙突击步枪,腾龙突击步枪,新式蛟龙战术长枪管,add,左贴片
腾龙突击步枪,腾龙突击步枪,新式蛟龙战术长枪管,add,导轨脚架
腾龙突击步枪,腾龙突击步枪,新式蛟龙战术长枪管,add,右贴片
腾龙突击步枪,腾龙突击步枪,5.8新式60发弹鼓,disable,弹匣座
野牛冲锋枪,野牛冲锋枪,灵眼3/7弹道计算狙击镜,add,遮光罩
野牛冲锋枪,野牛冲锋枪,M157火控光学系统,add,遮光罩
野牛冲锋枪,野牛冲锋枪,LPVO多倍率战斗瞄具,add,遮光罩
野牛冲锋枪,野牛冲锋枪,3/7可调倍率狙击镜,add,遮光罩
野牛冲锋枪,野牛冲锋枪,3/7可调倍率狙击镜,add,上副瞄具
野牛冲锋枪,野牛冲锋枪,侦察1.5/5可调瞄准镜,add,遮光罩
野牛冲锋枪,野牛冲锋枪,MEO微型瞄具增高架,add,瞄准镜
野牛冲锋枪,野牛冲锋枪,多用途战术增高架,add,战术设备
