武器ID,武器名称,槽位名称
357,.357左轮,瞄准镜
357,.357左轮,枪管
357,.357左轮,枪口
357,.357左轮,后握把
357,.357左轮,遮光罩
357,.357左轮,上副瞄具
357,.357左轮,前握把
357,.357左轮,导轨脚架
357,.357左轮,上导轨
357,.357左轮,右导轨
357,.357左轮,上贴片
357,.357左轮,左导轨
357,.357左轮,右贴片
357,.357左轮,左贴片
357,.357左轮,枪托
725,725双管霰弹枪,瞄准镜
725,725双管霰弹枪,枪管
725,725双管霰弹枪,枪口
725,725双管霰弹枪,枪托
725,725双管霰弹枪,遮光罩
725,725双管霰弹枪,上副瞄具
725,725双管霰弹枪,战术设备
725,725双管霰弹枪,增高座瞄具
725,725双管霰弹枪,前握把
725,725双管霰弹枪,左导轨
725,725双管霰弹枪,右导轨
725,725双管霰弹枪,上贴片
725,725双管霰弹枪,左贴片
725,725双管霰弹枪,右贴片
93r,93R,枪管
93r,93R,瞄准镜
93r,93R,枪口
93r,93R,下导轨
93r,93R,后握把
93r,93R,弹匣
复合弓,复合弓,弓瞄具
复合弓,复合弓,弓臂
复合弓,复合弓,弹匣
复合弓,复合弓,弓弦
复合弓,复合弓,稳定杆
复合弓,复合弓,箭台
复合弓,复合弓,握把片
杠杆式步枪,杠杆式步枪,瞄准镜
杠杆式步枪,杠杆式步枪,枪管
杠杆式步枪,杠杆式步枪,枪口
杠杆式步枪,杠杆式步枪,枪托
杠杆式步枪,杠杆式步枪,杠杆
杠杆式步枪,杠杆式步枪,遮光罩
杠杆式步枪,杠杆式步枪,上副瞄具
杠杆式步枪,杠杆式步枪,战术设备
杠杆式步枪,杠杆式步枪,增高座瞄具
杠杆式步枪,杠杆式步枪,前握把
杠杆式步枪,杠杆式步枪,左导轨
杠杆式步枪,杠杆式步枪,右导轨
杠杆式步枪,杠杆式步枪,上导轨
杠杆式步枪,杠杆式步枪,右贴片
杠杆式步枪,杠杆式步枪,左贴片
杠杆式步枪,杠杆式步枪,托腮板
沙漠之鹰,沙漠之鹰,瞄准镜
沙漠之鹰,沙漠之鹰,枪管
沙漠之鹰,沙漠之鹰,下导轨
沙漠之鹰,沙漠之鹰,枪口
沙漠之鹰,沙漠之鹰,弹匣
沙漠之鹰,沙漠之鹰,后握把
腾龙突击步枪,腾龙突击步枪,上导轨
腾龙突击步枪,腾龙突击步枪,右导轨
腾龙突击步枪,腾龙突击步枪,瞄准镜
腾龙突击步枪,腾龙突击步枪,左导轨
腾龙突击步枪,腾龙突击步枪,侧瞄具
腾龙突击步枪,腾龙突击步枪,导气
腾龙突击步枪,腾龙突击步枪,前握把
腾龙突击步枪,腾龙突击步枪,枪管
腾龙突击步枪,腾龙突击步枪,枪托
腾龙突击步枪,腾龙突击步枪,枪口
腾龙突击步枪,腾龙突击步枪,后握把
腾龙突击步枪,腾龙突击步枪,弹匣
腾龙突击步枪,腾龙突击步枪,弹匣座
腾龙突击步枪,腾龙突击步枪,遮光罩
腾龙突击步枪,腾龙突击步枪,上副瞄具
腾龙突击步枪,腾龙突击步枪,战术设备
腾龙突击步枪,腾龙突击步枪,增高座瞄具
腾龙突击步枪,腾龙突击步枪,上贴片
腾龙突击步枪,腾龙突击步枪,左贴片
腾龙突击步枪,腾龙突击步枪,导轨脚架
腾龙突击步枪,腾龙突击步枪,右贴片
野牛冲锋枪,野牛冲锋枪,瞄准镜
野牛冲锋枪,野牛冲锋枪,拉机柄
野牛冲锋枪,野牛冲锋枪,侧瞄具
野牛冲锋枪,野牛冲锋枪,护木
野牛冲锋枪,野牛冲锋枪,右导轨
野牛冲锋枪,野牛冲锋枪,左导轨
野牛冲锋枪,野牛冲锋枪,枪管
野牛冲锋枪,野牛冲锋枪,枪口
野牛冲锋枪,野牛冲锋枪,枪托
野牛冲锋枪,野牛冲锋枪,弹匣
野牛冲锋枪,野牛冲锋枪,枪托垫
野牛冲锋枪,野牛冲锋枪,后握把
野牛冲锋枪,野牛冲锋枪,遮光罩
野牛冲锋枪,野牛冲锋枪,上副瞄具
野牛冲锋枪,野牛冲锋枪,战术设备
野牛冲锋枪,野牛冲锋枪,增高座瞄具
野牛冲锋枪,野牛冲锋枪,握把座
勇士冲锋枪,勇士冲锋枪,瞄准镜
勇士冲锋枪,勇士冲锋枪,拉机柄
勇士冲锋枪,勇士冲锋枪,侧瞄具
勇士冲锋枪,勇士冲锋枪,右导轨
勇士冲锋枪,勇士冲锋枪,枪管
勇士冲锋枪,勇士冲锋枪,枪口
勇士冲锋枪,勇士冲锋枪,枪托
勇士冲锋枪,勇士冲锋枪,前握把
勇士冲锋枪,勇士冲锋枪,枪托垫
勇士冲锋枪,勇士冲锋枪,后握把
勇士冲锋枪,勇士冲锋枪,弹匣
勇士冲锋枪,勇士冲锋枪,弹匣座
勇士冲锋枪,勇士冲锋枪,遮光罩
勇士冲锋枪,勇士冲锋枪,上副瞄具
勇士冲锋枪,勇士冲锋枪,战术设备
勇士冲锋枪,勇士冲锋枪,增高座瞄具
勇士冲锋枪,勇士冲锋枪,上导轨
勇士冲锋枪,勇士冲锋枪,左导轨
勇士冲锋枪,勇士冲锋枪,左贴片
勇士冲锋枪,勇士冲锋枪,右贴片
勇士冲锋枪,勇士冲锋枪,握把座
ak-12,AK-12突击步枪,拉机柄
