武器ID,武器名称,策略ID,策略名称
357,.357左轮,handling,操控优先
357,.357左轮,recoil,后坐力优先
357,.357左轮,stability,稳定优先
357,.357左轮,balanced,综合均衡
725,725双管霰弹枪,handling,操控优先
725,725双管霰弹枪,recoil,后坐力优先
725,725双管霰弹枪,stability,稳定优先
725,725双管霰弹枪,balanced,综合均衡
93r,93R,handling,操控优先
93r,93R,recoil,后坐力优先
93r,93R,stability,稳定优先
93r,93R,balanced,综合均衡
复合弓,复合弓,handling,操控优先
复合弓,复合弓,recoil,后坐力优先
复合弓,复合弓,stability,稳定优先
复合弓,复合弓,balanced,综合均衡
杠杆式步枪,杠杆式步枪,handling,操控优先
杠杆式步枪,杠杆式步枪,recoil,后坐力优先
杠杆式步枪,杠杆式步枪,stability,稳定优先
杠杆式步枪,杠杆式步枪,balanced,综合均衡
沙漠之鹰,沙漠之鹰,handling,操控优先
沙漠之鹰,沙漠之鹰,recoil,后坐力优先
沙漠之鹰,沙漠之鹰,stability,稳定优先
沙漠之鹰,沙漠之鹰,balanced,综合均衡
腾龙突击步枪,腾龙突击步枪,handling,操控优先
腾龙突击步枪,腾龙突击步枪,recoil,后坐力优先
腾龙突击步枪,腾龙突击步枪,stability,稳定优先
腾龙突击步枪,腾龙突击步枪,balanced,综合均衡
野牛冲锋枪,野牛冲锋枪,handling,操控优先
野牛冲锋枪,野牛冲锋枪,recoil,后坐力优先
野牛冲锋枪,野牛冲锋枪,stability,稳定优先
野牛冲锋枪,野牛冲锋枪,balanced,综合均衡
勇士冲锋枪,勇士冲锋枪,handling,操控优先
勇士冲锋枪,勇士冲锋枪,recoil,后坐力优先
勇士冲锋枪,勇士冲锋枪,stability,稳定优先
勇士冲锋枪,勇士冲锋枪,balanced,综合均衡
ak-12,AK-12突击步枪,handling,操控优先
ak-12,AK-12突击步枪,recoil,后坐力优先
ak-12,AK-12突击步枪,stability,稳定优先
ak-12,AK-12突击步枪,balanced,综合均衡
akm,AKM突击步枪,handling,操控优先
akm,AKM突击步枪,recoil,后坐力优先
akm,AKM突击步枪,stability,稳定优先
akm,AKM突击步枪,balanced,综合均衡
aks-74u,AKS-74U突击步枪,handling,操控优先
aks-74u,AKS-74U突击步枪,recoil,后坐力优先
aks-74u,AKS-74U突击步枪,stability,稳定优先
aks-74u,AKS-74U突击步枪,balanced,综合均衡
ar57,AR57突击步枪,handling,操控优先
ar57,AR57突击步枪,recoil,后坐力优先
ar57,AR57突击步枪,stability,稳定优先
ar57,AR57突击步枪,balanced,综合均衡
ash-12,ASh-12战斗步枪,handling,操控优先
ash-12,ASh-12战斗步枪,recoil,后坐力优先
ash-12,ASh-12战斗步枪,stability,稳定优先
ash-12,ASh-12战斗步枪,balanced,综合均衡
asval,ASVal突击步枪,handling,操控优先
asval,ASVal突击步枪,recoil,后坐力优先
asval,ASVal突击步枪,stability,稳定优先
asval,ASVal突击步枪,balanced,综合均衡
aug,AUG突击步枪,handling,操控优先
aug,AUG突击步枪,recoil,后坐力优先
aug,AUG突击步枪,stability,稳定优先
aug,AUG突击步枪,balanced,综合均衡
awm,AWM狙击步枪,handling,操控优先
awm,AWM狙击步枪,recoil,后坐力优先
awm,AWM狙击步枪,stability,稳定优先
awm,AWM狙击步枪,balanced,综合均衡
car-15,CAR-15突击步枪,handling,操控优先
car-15,CAR-15突击步枪,recoil,后坐力优先
car-15,CAR-15突击步枪,stability,稳定优先
car-15,CAR-15突击步枪,balanced,综合均衡
fs-12,FS-12霰弹枪,handling,操控优先
fs-12,FS-12霰弹枪,recoil,后坐力优先
fs-12,FS-12霰弹枪,stability,稳定优先
fs-12,FS-12霰弹枪,balanced,综合均衡
g17,G17,handling,操控优先
g17,G17,recoil,后坐力优先
g17,G17,stability,稳定优先
g17,G17,balanced,综合均衡
g18,G18,handling,操控优先
g18,G18,recoil,后坐力优先
g18,G18,stability,稳定优先
g18,G18,balanced,综合均衡
g3,G3战斗步枪,handling,操控优先
g3,G3战斗步枪,recoil,后坐力优先
g3,G3战斗步枪,stability,稳定优先
g3,G3战斗步枪,balanced,综合均衡
k416,K416突击步枪,handling,操控优先
k416,K416突击步枪,recoil,后坐力优先
k416,K416突击步枪,stability,稳定优先
k416,K416突击步枪,balanced,综合均衡
k437,K437突击步枪,handling,操控优先
k437,K437突击步枪,recoil,后坐力优先
k437,K437突击步枪,stability,稳定优先
k437,K437突击步枪,balanced,综合均衡
kc17,KC17突击步枪,handling,操控优先
kc17,KC17突击步枪,recoil,后坐力优先
kc17,KC17突击步枪,stability,稳定优先
kc17,KC17突击步枪,balanced,综合均衡
m1014,M1014霰弹枪,handling,操控优先
m1014,M1014霰弹枪,recoil,后坐力优先
m1014,M1014霰弹枪,stability,稳定优先
m1014,M1014霰弹枪,balanced,综合均衡
m14,M14射手步枪,handling,操控优先
m14,M14射手步枪,recoil,后坐力优先
m14,M14射手步枪,stability,稳定优先
m14,M14射手步枪,balanced,综合均衡
m16a4,M16A4突击步枪,handling,操控优先
m16a4,M16A4突击步枪,recoil,后坐力优先
m16a4,M16A4突击步枪,stability,稳定优先
m16a4,M16A4突击步枪,balanced,综合均衡
m1911,M1911,handling,操控优先
m1911,M1911,recoil,后坐力优先
m1911,M1911,stability,稳定优先
m1911,M1911,balanced,综合均衡
m249,M249轻机枪,handling,操控优先
m249,M249轻机枪,recoil,后坐力优先
m249,M249轻机枪,stability,稳定优先
m249,M249轻机枪,balanced,综合均衡
m250,M250通用机枪,handling,操控优先
m250,M250通用机枪,recoil,后坐力优先
m250,M250通用机枪,stability,稳定优先
m250,M250通用机枪,balanced,综合均衡
m4a1,M4A1突击步枪,handling,操控优先
m4a1,M4A1突击步枪,recoil,后坐力优先
m4a1,M4A1突击步枪,stability,稳定优先
m4a1,M4A1突击步枪,balanced,综合均衡
m700,M700狙击步枪,handling,操控优先
m700,M700狙击步枪,recoil,后坐力优先
m700,M700狙击步枪,stability,稳定优先
m700,M700狙击步枪,balanced,综合均衡
m7,M７战斗步枪,handling,操控优先
m7,M７战斗步枪,recoil,后坐力优先
m7,M７战斗步枪,stability,稳定优先
m7,M７战斗步枪,balanced,综合均衡
m82,M82狙击步枪,handling,操控优先
m82,M82狙击步枪,recoil,后坐力优先
m82,M82狙击步枪,stability,稳定优先
m82,M82狙击步枪,balanced,综合均衡
m870,M870霰弹枪,handling,操控优先
m870,M870霰弹枪,recoil,后坐力优先
m870,M870霰弹枪,stability,稳定优先
m870,M870霰弹枪,balanced,综合均衡
mcxlt,MCXLT突击步枪,handling,操控优先
mcxlt,MCXLT突击步枪,recoil,后坐力优先
mcxlt,MCXLT突击步枪,stability,稳定优先
mcxlt,MCXLT突击步枪,balanced,综合均衡
mini-14,Mini-14射手步枪,handling,操控优先
mini-14,Mini-14射手步枪,recoil,后坐力优先
mini-14,Mini-14射手步枪,stability,稳定优先
mini-14,Mini-14射手步枪,balanced,综合均衡
mk47,MK47突击步枪,handling,操控优先
mk47,MK47突击步枪,recoil,后坐力优先
mk47,MK47突击步枪,stability,稳定优先
mk47,MK47突击步枪,balanced,综合均衡
mk4,MK4冲锋枪,handling,操控优先
mk4,MK4冲锋枪,recoil,后坐力优先
mk4,MK4冲锋枪,stability,稳定优先
mk4,MK4冲锋枪,balanced,综合均衡
mp5,MP5冲锋枪,handling,操控优先
mp5,MP5冲锋枪,recoil,后坐力优先
mp5,MP5冲锋枪,stability,稳定优先
mp5,MP5冲锋枪,balanced,综合均衡
mp7,MP7冲锋枪,handling,操控优先
mp7,MP7冲锋枪,recoil,后坐力优先
mp7,MP7冲锋枪,stability,稳定优先
mp7,MP7冲锋枪,balanced,综合均衡
p90,P90冲锋枪,handling,操控优先
p90,P90冲锋枪,recoil,后坐力优先
p90,P90冲锋枪,stability,稳定优先
p90,P90冲锋枪,balanced,综合均衡
pkm,PKM通用机枪,handling,操控优先
pkm,PKM通用机枪,recoil,后坐力优先
pkm,PKM通用机枪,stability,稳定优先
pkm,PKM通用机枪,balanced,综合均衡
psg-1,PSG-1射手步枪,handling,操控优先
psg-1,PSG-1射手步枪,recoil,后坐力优先
psg-1,PSG-1射手步枪,stability,稳定优先
psg-1,PSG-1射手步枪,balanced,综合均衡
