图片名,分类,图片URL
步枪-腾龙突击步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-%E8%85%BE%E9%BE%99%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-AK-12突击步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-AK-12%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-AKM突击步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-AKM%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-AKS-74U突击步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-AKS-74U%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-AR57突击步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-AR57%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-ASh-12战斗步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-ASh-12%E6%88%98%E6%96%97%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-ASVal突击步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-ASVal%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-AUG突击步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-AUG%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-CAR-15突击步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-CAR-15%E7%AA%81%E5%87%BB%E6%AD%A5%E6%9E%AA-removebg-preview.png
步枪-G3战斗步枪,步枪,https://hpromax.top/static/assets/ui-cutouts/%E6%9E%AA%E6%A2%B0%E5%9B%BE%E7%89%87/%E6%AD%A5%E6%9E%AA/%E6%AD%A5%E6%9E%AA-G3%E6%88%98%E6%96%97%E6%AD%A5%E6%9E%AA-removebg-preview.png
