ID,名称,类型,价值,配件数,配件槽数,基础伤害,优势射程,后坐力控制,操控速度,据枪稳定性,腰际射击精度,护甲伤害,射速,容量,枪口初速,枪声传播距离
357,.357左轮,手枪,0,190,16,56,35,34,62,43,65,39,182,6,340,300
725,725双管霰弹枪,霰弹枪,31567,128,16,17,15,25,50,48,47,18,375,2,400,500
93r,93R,手枪,15562,24,6,34,22,44,67,38,78,32,508,12,400,300
复合弓,复合弓,特殊武器,107679,11,7,90,65,32,66,55,57,65,182,1,300,30
杠杆式步枪,杠杆式步枪,精确射手步枪,65345,201,17,70,30,47,55,49,43,25,100,10,750,600
沙漠之鹰,沙漠之鹰,手枪,15587,28,7,56,15,40,66,39,71,53,207,7,340,300
腾龙突击步枪,腾龙突击步枪,步枪,116218,191,22,35,35,40,60,50,56,38,706,30,575,500
野牛冲锋枪,野牛冲锋枪,冲锋枪,11689,144,19,32,20,43,62,49,63,35,659,32,500,300
勇士冲锋枪,勇士冲锋枪,冲锋枪,46474,215,23,36,20,40,63,48,48,35,700,30,500,300
ak-12,AK-12突击步枪,步枪,0,230,26,30,40,48,57,56,54,42,735,30,575,500
akm,AKM突击步枪,步枪,113947,374,24,40,40,39,54,55,53,42,600,30,525,500
aks-74u,AKS-74U突击步枪,步枪,11785,175,22,34,40,35,60,53,52,36,533,20,500,500
ar57,AR57突击步枪,步枪,176804,160,19,30,35,41,58,40,60,31,900,50,525,300
ash-12,ASh-12战斗步枪,步枪,226228,143,16,56,55,24,57,61,43,55,500,20,340,600
asval,ASVal突击步枪,步枪,257021,165,19,28,21,43,62,51,57,44,972,15,300,100
aug,AUG突击步枪,步枪,118844,186,19,32,55,60,54,59,53,35,679,30,575,500
awm,AWM狙击步枪,狙击步枪,738323,123,16,100,200,20,44,74,23,10,35,5,750,800
car-15,CAR-15突击步枪,步枪,11765,474,24,27,40,50,58,55,53,32,632,20,575,500
fs-12,FS-12霰弹枪,霰弹枪,69053,95,14,14,12,30,52,47,51,16,300,6,450,500
g17,G17,手枪,4703,20,6,27,27,42,70,35,75,25,462,17,400,300
g18,G18,手枪,18543,19,6,23,10,30,62,43,67,16,1172,17,400,300
g3,G3战斗步枪,步枪,0,248,20,39,55,32,51,62,45,42,533,20,630,600
k416,K416突击步枪,步枪,0,199,25,31,27,44,61,52,57,35,880,30,575,500
k437,K437突击步枪,步枪,134520,208,21,36,35,45,48,53,49,32,780,30,575,500
kc17,KC17突击步枪,步枪,202527,189,21,31,55,53,53,48,45,48,740,30,575,500
m1014,M1014霰弹枪,霰弹枪,26207,146,17,14,12,28,53,45,52,16,261,7,450,500
m14,M14射手步枪,精确射手步枪,169094,280,23,39,40,26,52,55,48,41,727,10,575,600
m16a4,M16A4突击步枪,步枪,11794,549,26,33,55,40,56,57,54,39,508,20,575,500
m1911,M1911,手枪,16894,19,8,40,15,39,65,40,67,30,373,7,400,300
m249,M249轻机枪,轻机枪,76000,206,22,30,40,44,47,55,48,38,858,100,575,600
m250,M250通用机枪,轻机枪,299926,172,19,55,40,40,38,50,45,53,550,125,630,600
m4a1,M4A1突击步枪,步枪,110415,204,26,31,40,41,58,55,55,33,800,30,575,500
m700,M700狙击步枪,狙击步枪,125624,246,23,61,150,24,48,70,27,58,48,5,650,600
